1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
0.895263,0.895263,0.895263,0.895263,0.895263,0.895263,0.895263,0.895263,0.895263,0.895263,0.895263,0.895263,0.895263,0.895263,0.895263,0.895263,0.895263,0.895263,0.895263,0.895263,0.895263,0.895263,0.895263,0.895263,0.895263,0.895263,0.895263,0.895263,0.895263,0.895263,0.895263,0.895263,0.895263,0.895263,0.895263,0.895263,0.895263,0.895263,0.895263,0.895263,0.895263,0.895263,0.895263,0.895263,0.895263,0.895263,0.895263,0.895263,0.895263,0.895263,0.895263,
0.791579,0.791579,0.791579,0.791579,0.791579,0.791579,0.791579,0.791579,0.791579,0.791579,0.791579,0.791579,0.791579,0.791579,0.791579,0.791579,0.791579,0.791579,0.791579,0.791579,0.791579,0.791579,0.791579,0.791579,0.791579,0.791579,0.791579,0.791579,0.791579,0.791579,0.791579,0.791579,0.791579,0.791579,0.791579,0.791579,0.791579,0.791579,0.791579,0.791579,0.791579,0.791579,0.791579,0.791579,0.791579,0.791579,0.791579,0.791579,0.791579,0.791579,0.791579,
0.688947,0.688947,0.688947,0.688947,0.688947,0.688947,0.688947,0.688947,0.688947,0.688947,0.688947,0.688947,0.688947,0.688947,0.688947,0.688947,0.688947,0.688947,0.688947,0.688947,0.688947,0.688947,0.688947,0.688947,0.688947,0.688947,0.688947,0.688947,0.688947,0.688947,0.688947,0.688947,0.688947,0.688947,0.688947,0.688947,0.688947,0.688947,0.688947,0.688947,0.688947,0.688947,0.688947,0.688947,0.688947,0.688947,0.688947,0.688947,0.688947,0.688947,0.688947,
0.587368,0.587368,0.587368,0.587368,0.587368,0.587368,0.587368,0.587368,0.587368,0.587368,0.587368,0.587368,0.587368,0.587368,0.587368,0.587368,0.587368,0.587368,0.587368,0.587368,0.587368,0.587368,0.587368,0.587368,0.587368,0.587368,0.587368,0.587368,0.587368,0.587368,0.587368,0.587368,0.587368,0.587368,0.587368,0.587368,0.587368,0.587368,0.587368,0.587368,0.587368,0.587368,0.587368,0.587368,0.587368,0.587368,0.587368,0.587368,0.587368,0.587368,0.587368,
0.486842,0.486842,0.486842,0.486842,0.486842,0.486842,0.486842,0.486842,0.486842,0.486842,0.486842,0.486842,0.486842,0.486842,0.486842,0.486842,0.486842,0.486842,0.486842,0.486842,0.486842,0.486842,0.486842,0.486842,0.486842,0.486842,0.486842,0.486842,0.486842,0.486842,0.486842,0.486842,0.486842,0.486842,0.486842,0.486842,0.486842,0.486842,0.486842,0.486842,0.486842,0.486842,0.486842,0.486842,0.486842,0.486842,0.486842,0.486842,0.486842,0.486842,0.486842,
0.387368,0.387368,0.387368,0.387368,0.387368,0.387368,0.387368,0.387368,0.387368,0.387368,0.387368,0.387368,0.387368,0.387368,0.387368,0.387368,0.387368,0.387368,0.387368,0.387368,0.387368,0.387368,0.387368,0.387368,0.387368,0.387368,0.387368,0.387368,0.387368,0.387368,0.387368,0.387368,0.387368,0.387368,0.387368,0.387368,0.387368,0.387368,0.387368,0.387368,0.387368,0.387368,0.387368,0.387368,0.387368,0.387368,0.387368,0.387368,0.387368,0.387368,0.387368,
0.288947,0.288947,0.288947,0.288947,0.288947,0.288947,0.288947,0.288947,0.288947,0.288947,0.288947,0.288947,0.288947,0.288947,0.288947,0.288947,0.288947,0.288947,0.288947,0.288947,0.288947,0.288947,0.288947,0.288947,0.288947,0.288947,0.288947,0.288947,0.288947,0.288947,0.288947,0.288947,0.288947,0.288947,0.288947,0.288947,0.288947,0.288947,0.288947,0.288947,0.288947,0.288947,0.288947,0.288947,0.288947,0.288947,0.288947,0.288947,0.288947,0.288947,0.288947,
0.191579,0.191579,0.191579,0.191579,0.191579,0.191579,0.191579,0.191579,0.191579,0.191579,0.191579,0.191579,0.191579,0.191579,0.191579,0.191579,0.191579,0.191579,0.191579,0.191579,0.191579,0.191579,0.191579,0.191579,0.191579,0.191579,0.191579,0.191579,0.191579,0.191579,0.191579,0.191579,0.191579,0.191579,0.191579,0.191579,0.191579,0.191579,0.191579,0.191579,0.191579,0.191579,0.191579,0.191579,0.191579,0.191579,0.191579,0.191579,0.191579,0.191579,0.191579,
0.0952632,0.0952632,0.0952632,0.0952632,0.0952632,0.0952632,0.0952632,0.0952632,0.0952632,0.0952632,0.0952632,0.0952632,0.0952632,0.0952632,0.0952632,0.0952632,0.0952632,0.0952632,0.0952632,0.0952632,0.0952632,0.0952632,0.0952632,0.0952632,0.0952632,0.0952632,0.0952632,0.0952632,0.0952632,0.0952632,0.0952632,0.0952632,0.0952632,0.0952632,0.0952632,0.0952632,0.0952632,0.0952632,0.0952632,0.0952632,0.0952632,0.0952632,0.0952632,0.0952632,0.0952632,0.0952632,0.0952632,0.0952632,0.0952632,0.0952632,0.0952632,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
